dist_bin_pc,v_bin,teff_bin_k,n
390.0,14.5,3800.0,1
60.0,11.5,4400.0,47
400.0,15.0,3800.0,4
120.0,12.25,4000.0,5
30.0,10.5,4200.0,10
420.0,14.75,4000.0,8
300.0,14.5,3800.0,5
140.0,12.5,4800.0,72
470.0,14.0,5000.0,2667
400.0,14.75,4200.0,221
320.0,12.75,4600.0,1
420.0,15.75,4000.0,422
390.0,13.5,4400.0,1
70.0,11.0,4600.0,236
490.0,15.5,4200.0,984
170.0,13.75,4400.0,677
50.0,11.0,4400.0,67
40.0,10.5,4000.0,11
170.0,15.5,4800.0,36
240.0,12.5,4400.0,1
170.0,15.75,4600.0,10
240.0,12.5,4800.0,65
450.0,15.5,3600.0,2
10.0,9.75,3600.0,12
250.0,15.75,3600.0,883
250.0,15.0,5000.0,14
